track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1BSJLtXHoGQ5bneYDW57pt,0.639,0.597,4,-9.579,1,0.0269,0.546,0.00286,0.12,0.538,100.009,235360,4
52NtTuDZFwdwtYkKWPemPv,0.608,0.681,7,-9.458,1,0.0404,0.16,0,0.121,0.713,98.139,352947,4
3XA3NYOoFxiLQe0OLtQlNw,0.602,0.626,7,-8.857,1,0.0382,0.151,0,0.273,0.96,112.211,219067,4
1ogT9sE0IgZPe8YAMnwNrI,0.652,0.553,11,-8.375,1,0.0314,0.79,0,0.116,0.573,131.982,211045,4
1op7nM2R2M6FAU6dSCTRWV,0.563,0.425,2,-13.814,0,0.0665,0.913,0.0054,0.306,0.679,77.209,179933,4
1xCbDvw3UNReOWq9BbAThc,0.485,0.259,9,-14.573,1,0.0578,0.939,3.23e-4,0.11,0.519,83.637,235533,4
7Bq17tNAUCLceZQOJMnj3D,0.705,0.355,1,-13.347,1,0.131,0.727,1.35e-5,0.183,0.846,93.388,158800,4
4M2j1X47FwMozJrnJHnYNm,0.69,0.613,7,-11.531,1,0.0332,0.554,0,0.0673,0.919,100.937,97200,4
3TBy6We8pwdcLeFNt0ahKA,0.652,0.535,9,-12.21,1,0.0386,0.908,5.26e-5,0.117,0.961,99.097,139267,4
26AEThFFzttojUmMlmGwNN,0.676,0.421,2,-14.418,1,0.127,0.499,1.9e-6,0.164,0.897,80.136,155000,4
32HG0U34mccdWv4yRu7Yxb,0.608,0.473,2,-12.794,1,0.0431,0.679,0.00346,0.154,0.862,80.955,203507,4
0MMe6HyOCDo6GYBZZCwkyt,0.757,0.492,2,-10.831,0,0.054,0.826,1.33e-4,0.395,0.872,111.987,174493,4
05NMSR0sSrCZxTHDRV415A,0.731,0.54,9,-14.272,1,0.0521,0.42,0,0.331,0.962,91.118,128107,4
4UHu4UpED27C9yIMXmUGLq,0.634,0.314,4,-12.297,1,0.0322,0.946,2.76e-4,0.319,0.517,108.222,175520,4
2MKiL2LuTQfVfGKdbmYze3,0.797,0.95,9,-5.871,0,0.0733,0.202,1.73e-4,0.0824,0.732,128.049,154403,4
6co1jDYZQeFafrauBJUZIv,0.772,0.877,9,-2.732,1,0.0367,0.401,0,0.0696,0.911,127.975,189375,4
4zaH0JKo9qeA1lWulFgt3J,0.844,0.538,5,-10.926,0,0.0959,0.262,0.00365,0.0626,0.639,110.024,204852,4
2rZFSXWR2B5YCASIFuD8gh,0.766,0.757,9,-6.751,1,0.163,0.335,0,0.322,0.868,140.005,202057,4
3OhE4H6uuFLxDFsyso8sQX,0.769,0.882,5,-3.508,1,0.159,0.305,0,0.221,0.911,124.116,207702,4
6CyfQNXZLf6cmxK31PEEcw,0.369,0.877,9,-5.212,1,0.117,0.575,1.51e-6,0.426,0.396,116.075,208363,4
03D45PWQ8HcNjIcnV5yPwU,0.729,0.929,9,-5.483,1,0.0645,0.0273,5.73e-4,0.0861,0.926,144.963,170279,4
0nkDm27DGppCSk8dnGtvPa,0.819,0.951,6,-2.896,0,0.141,0.356,0,0.145,0.963,153.963,148340,4
4wvrHn3V2M7ZxplwFRQkzJ,0.579,0.633,7,-5.494,0,0.242,0.16,2.14e-6,0.135,0.303,97.962,165536,4
6zdrUt0j8guhZfcSF6X2Sb,0.826,0.791,0,-4.605,0,0.0806,0.193,8.6e-5,0.0533,0.344,150.026,175061,4
6bSvoJ36Z446sBPf7NEhh9,0.563,0.749,0,-4.414,0,0.0588,0.12,1.96e-4,0.0597,0.651,99.274,143377,5
2ypG5kEdrAHSOVXhSkJfxe,0.447,0.83,10,-8.076,1,0.106,0.711,0.00184,0.972,0.513,109.178,323373,4
1gSOBwv1QSq6SsEQ2EzT9h,0.666,0.73,2,-10.347,1,0.054,0.46,8.25e-5,0.319,0.933,93.396,204267,4
